Type,SKU,Nom,Description,Catégories,Attribut 1 name,Attribut 1 value(s),Attribut 1 visible,Attribut 1 global,Attribut 2 name,Attribut 2 value(s),Attribut 2 visible,Attribut 2 global,Parent,Prix régulier
variation,R-541316-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-541316,3239
variation,R-541316-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-541316,3774
variation,R-541316-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-541316,4224
variation,R-541316-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-541316,2409
variation,R-541316-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-541316,2741
variation,R-541316-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-541316,3129
variation,R-541316-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-541316,3459
variation,R-541316-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-541316,3774
variation,R-541316-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-541316,4309
variation,R-541316-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-541316,4759
variable,R-549234,Marquise Diamond Ring (Vintage Scrollwork),Exquisite marquise solitaire ring featuring a hand-engraved vintage style scrolling band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-549234-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-549234,1439
variation,R-549234-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-549234,1771
variation,R-549234-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-549234,2159
variation,R-549234-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-549234,2489
variation,R-549234-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-549234,2804
variation,R-549234-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-549234,3339
variation,R-549234-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-549234,3789
variation,R-549234-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-549234,1854
variation,R-549234-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-549234,2186
variation,R-549234-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-549234,2574
variation,R-549234-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-549234,2904
variation,R-549234-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-549234,3219
variation,R-549234-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-549234,3754
variation,R-549234-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-549234,4204
variation,R-549234-1ct-18K,,,,Poids diamant,1 ct,,,Type d'or,18K,,,R-549234,2389
variation,R-549234-1.5ct-18K,,,,Poids diamant,1.5 ct,,,Type d'or,18K,,,R-549234,2721
variation,R-549234-2ct-18K,,,,Poids diamant,2 ct,,,Type d'or,18K,,,R-549234,3109
variation,R-549234-2.5ct-18K,,,,Poids diamant,2.5 ct,,,Type d'or,18K,,,R-549234,3439
variation,R-549234-3ct-18K,,,,Poids diamant,3 ct,,,Type d'or,18K,,,R-549234,3754
variation,R-549234-3.5ct-18K,,,,Poids diamant,3.5 ct,,,Type d'or,18K,,,R-549234,4289
variation,R-549234-4ct-18K,,,,Poids diamant,4 ct,,,Type d'or,18K,,,R-549234,4739
variable,R-568023,Oval Diamond Engagement Ring (Pave Band),Graceful oval diamond set in white gold with a shimmering micropave band.,Bagues,Poids diamant,"1 ct,1.5 ct,2 ct,2.5 ct,3 ct,3.5 ct,4 ct",1,1,Type d'or,"10K,14K,18K",1,1,,
variation,R-568023-1ct-10K,,,,Poids diamant,1 ct,,,Type d'or,10K,,,R-568023,1699
variation,R-568023-1.5ct-10K,,,,Poids diamant,1.5 ct,,,Type d'or,10K,,,R-568023,2031
variation,R-568023-2ct-10K,,,,Poids diamant,2 ct,,,Type d'or,10K,,,R-568023,2419
variation,R-568023-2.5ct-10K,,,,Poids diamant,2.5 ct,,,Type d'or,10K,,,R-568023,2749
variation,R-568023-3ct-10K,,,,Poids diamant,3 ct,,,Type d'or,10K,,,R-568023,3064
variation,R-568023-3.5ct-10K,,,,Poids diamant,3.5 ct,,,Type d'or,10K,,,R-568023,3599
variation,R-568023-4ct-10K,,,,Poids diamant,4 ct,,,Type d'or,10K,,,R-568023,4049
variation,R-568023-1ct-14K,,,,Poids diamant,1 ct,,,Type d'or,14K,,,R-568023,2114
variation,R-568023-1.5ct-14K,,,,Poids diamant,1.5 ct,,,Type d'or,14K,,,R-568023,2446
variation,R-568023-2ct-14K,,,,Poids diamant,2 ct,,,Type d'or,14K,,,R-568023,2834
variation,R-568023-2.5ct-14K,,,,Poids diamant,2.5 ct,,,Type d'or,14K,,,R-568023,3164
variation,R-568023-3ct-14K,,,,Poids diamant,3 ct,,,Type d'or,14K,,,R-568023,3479
variation,R-568023-3.5ct-14K,,,,Poids diamant,3.5 ct,,,Type d'or,14K,,,R-568023,4014
variation,R-568023-4ct-14K,,,,Poids diamant,4 ct,,,Type d'or,14K,,,R-568023,4464
