SKU,stone type,category,,item title,description,lentght,10k 2ct,10k 3ct,10k 4ct,10k 5ct,10k 6ct,10k 7ct,10k 8ct,10k 9ct,10k 10ct,,14k 2ct,14k 3ct,14k 4ct,14k 5ct,14k 6ct,14k 7ct,14k 8ct,14k 9ct,14k 10ct
BR-324109,diamond,bracelet,,Gold Classic Diamond Tennis Bracelet,Timeless line bracelet featuring round brilliant diamonds in a secure 4-prong setting.,"7,5",1799,2199,2499,2999,3599,3799,3999,4399,4799,,1999,2449,2779,3349,3999,4249,4499,4949,5399
BR-405993,diamond,bracelet,,Gold Round Diamond Tennis Bracelet (Prong Set),Essential luxury piece with a continuous line of matched round diamonds.,"7,5",1899,2299,2599,3299,3699,3899,4299,4499,4999,,2099,2549,2899,3649,4099,4349,4799,5049,5599
BR-439742,black diamond,bracelet,,Gold Black Diamond Tennis Bracelet,Bold and sophisticated line bracelet featuring round black diamonds in a gold setting.,"7,5",1799,2399,2699,3399,3799,4199,4499,4699,5199,,1999,2649,2999,3749,4199,4649,4999,5249,5799
BR-458774,diamond,bracelet,,Gold Bezel Set Diamond Bangle Bracelet,Modern hinged bangle featuring bezel-set round diamonds in a segmented design.,"7,5",1999,2499,2899,3199,3399,3699,3999,4399,4599,,2199,2749,3199,3549,3799,4149,4499,5159,5499
BR-574103,diamond,bracelet,meme prix que BR-405993 mais en or rose ,,,"7,5",,,,,,,,,,,,,,,,,,,
BR-597421,black diamond,bracelet,meme prix que BR-324109 mais or jaune et diamant noir,,,"7,5",,,,,,,,,,,,,,,,,,,
BR-846521,damond,bracelet,meme EXACT que BR-324109 mais version 6CT ,,,"7,5",,,,,,,,,,,,,,,,,,,
BR-907508,emerlads,bracelet,MEME PRIX QUE BR-439542 mais en emeraude,,,"7,5",,,,,,,,,,,,,,,,,,,
